kode_bps,nama_bps,kode_pos,nama_pos
1107,ACEH BARAT,23600,ACEH BARAT
1107,ACEH BARAT,23600,ACEH JAYA
1112,ACEH BARAT DAYA,23700,ACEH BARAT DAYA
1112,ACEH BARAT DAYA,23700,ACEH SELATAN
1108,ACEH BESAR,23300,ACEH BESAR
1108,ACEH BESAR,23900,ACEH BESAR
1116,ACEH JAYA,23600,ACEH BARAT
1116,ACEH JAYA,23600,ACEH JAYA
1103,ACEH SELATAN,23700,ACEH BARAT DAYA
1103,ACEH SELATAN,23700,ACEH SELATAN
1102,ACEH SINGKIL,24700,ACEH SINGKIL
1114,ACEH TAMIANG,24400,ACEH TAMIANG
1106,ACEH TENGAH,24500,ACEH TENGAH
1106,ACEH TENGAH,24500,BENER MERIAH
1104,ACEH TENGGARA,24600,ACEH TENGGARA
1104,ACEH TENGGARA,24600,GAYO LUES
1105,ACEH TIMUR,24400,ACEH TIMUR
1105,ACEH TIMUR,24400,KOTA LANGSA
1111,ACEH UTARA,24300,ACEH UTARA
1111,ACEH UTARA,24300,KOTA LHOKSEUMAWE
5307,ALOR,85800,ALOR
8171,AMBON,97100,KOTA AMBON
8171,AMBON,97200,KOTA AMBON
1208,ASAHAN,21200,ASAHAN
1208,ASAHAN,21300,ASAHAN
1208,ASAHAN,21300,KOTA TANJUNG BALAI
9415,ASMAT,99700,ASMAT
2171,B A T A M,29400,KOTA BATAM
5103,BADUNG,80300,BADUNG
6311,BALANGAN,71600,BALANGAN
6471,BALIKPAPAN,76100,KOTA BALIKPAPAN
1171,BANDA ACEH,23100,KOTA BANDA ACEH
1171,BANDA ACEH,23200,KOTA BANDA ACEH
1871,BANDAR LAMPUNG,35100,KOTA BANDAR LAMPUNG
1871,BANDAR LAMPUNG,35200,KOTA BANDAR LAMPUNG
3204,BANDUNG,40300,BANDUNG
3273,BANDUNG,40100,KOTA BANDUNG
3273,BANDUNG,40200,KOTA BANDUNG
3217,BANDUNG BARAT,40700,BANDUNG BARAT
7202,BANGGAI,94700,BANGGAI
7201,BANGGAI KEPULAUAN,94800,BANGGAI KEPULAUAN
7211,BANGGAI LAUT,94800,BANGGAI LAUT
1901,BANGKA,33200,BANGKA
1903,BANGKA BARAT,33300,BANGKA BARAT
1905,BANGKA SELATAN,33700,BANGKA SELATAN
1904,BANGKA TENGAH,33600,BANGKA TENGAH
3526,BANGKALAN,69100,BANGKALAN
5106,BANGLI,80600,BANGLI
3279,BANJAR,46300,KOTA BANJAR
6303,BANJAR,70600,BANJAR
6372,BANJAR BARU,70700,KOTA BANJARBARU
6371,BANJARMASIN,70100,KOTA BANJARMASIN
6371,BANJARMASIN,70200,KOTA BANJARMASIN
3304,BANJARNEGARA,53400,BANJARNEGARA
7303,BANTAENG,92400,BANTAENG
3402,BANTUL,55700,BANTUL
1607,BANYU ASIN,30900,BANYUASIN
3302,BANYUMAS,53100,BANYUMAS
3510,BANYUWANGI,68400,BANYUWANGI
6304,BARITO KUALA,70500,BARITO KUALA
6204,BARITO SELATAN,73700,BARITO SELATAN
6212,BARITO TIMUR,73600,BARITO TIMUR
6205,BARITO UTARA,73800,BARITO UTARA
7310,BARRU,90700,BARRU
3325,BATANG,51200,BATANG
1504,BATANG HARI,36600,BATANGHARI
3579,BATU,65300,KOTA BATU
1219,BATU BARA,21600,BATU BARA
7472,BAUBAU,93700,KOTA BAU BAU
3216,BEKASI,17200,BEKASI
3216,BEKASI,17300,BEKASI
3216,BEKASI,17400,BEKASI
3216,BEKASI,17500,BEKASI
3216,BEKASI,17600,BEKASI
3216,BEKASI,17700,BEKASI
3216,BEKASI,17800,BEKASI
3275,BEKASI,17100,KOTA BEKASI
3275,BEKASI,17400,KOTA BEKASI
1902,BELITUNG,33400,BELITUNG
1906,BELITUNG TIMUR,33500,BELITUNG TIMUR
5306,BELU,85700,BELU
1117,BENER MERIAH,24500,ACEH TENGAH
1117,BENER MERIAH,24500,BENER MERIAH
6102,BENGKAYANG,79200,BENGKAYANG
1771,BENGKULU,38100,KOTA BENGKULU
1771,BENGKULU,38200,KOTA BENGKULU
1701,BENGKULU SELATAN,38500,BENGKULU SELATAN
1709,BENGKULU TENGAH,38300,BENGKULU TENGAH
1703,BENGKULU UTARA,38600,BENGKULU UTARA
6405,BERAU,77300,BERAU
9409,BIAK NUMFOR,98100,BIAK NUMFOR
5206,BIMA,84100,BIMA
5272,BIMA,84100,KOTA BIMA
1276,BINJAI,20700,KOTA BINJAI
2102,BINTAN,29100,BINTAN
