kode_bps,nama_bps,kode_pos,nama_pos
1671060006,1 ILIR,30117,1 Ilir
1671020008,1 ULU,30257,1 Ulu
1671060001,10 ILIR,30111,10 Ilir
1671060002,11 ILIR,30112,11 Ilir
1671030014,11 ULU,30261,11 Ulu
1671030013,12 ULU,30262,12 Ulu
1671050003,13 ILIR,30123,13 Ilir
1671030012,13 ULU,30263,13 Ulu
1671050004,14 ILIR,30124,14 Ilir
1671030011,14 ULU,30264,14 Ulu
1671050005,15 ILIR,30124,15 Ilir
1671020005,15 ULU,30251,15 Ulu
1671050002,16 ILIR,30122,16 Ilir
1671030008,16 ULU,30265,16 Ulu
1671050006,17 ILIR,30125,17 Ilir
1671050001,18 ILIR,30121,18 Ilir
1671041003,19 ILIR,30132,19 Ilir
1671060008,2 ILIR,30117,2 Ilir
1671020010,2 ULU,30256,2 Ulu
1671051003,20 ILIR II,30127,20 Ilir D II
1671050011,20 ILIR III,30125,20 Ilir D. III
1671050017,20 ILIR IV,30125,20 Ilir D IV
1671041002,22 ILIR,30131,22 Ilir
1671041004,23 ILIR,30133,23 Ilir
1671041006,24 ILIR,30134,24 Ilir
1671041005,26 ILIR,30135,26 Ilir
1671040002,26 ILIR I,30135,26 Ilir
1671010012,27 ILIR,30141,27 Ilir
1671010011,28 ILIR,30142,28 Ilir
1671010010,29 ILIR,30143,29 Ilir
1671020011,3-4 ULU,30255,3 / 4 Ulu
1671060005,3 ILIR,30116,3 Ilir
1671010008,30 ILIR,30144,30 Ilir
1671010007,32 ILIR,30145,32 Ilir
1671010006,35 ILIR,30146,35 Ilir
1671011005,36 ILIR,30147,36 Ilir
1671060009,5 ILIR,30115,5 Ilir
1671020012,5 ULU,30254,5 Ulu
1671020013,7 ULU,30253,7 Ulu
1671060012,8 ILIR,30114,8 Ilir
1671020014,8 ULU,30252,8 Ulu
1671060011,9 ILIR,30113,9 Ilir
1671020016,9/10 ULU,30251,9/10 Ulu
7308021006,A'BULOSIBATANG,90551,Abulo Sibatang
1111040015,A L E N,24373,Alen
1275030005,A M P L A S,20249,Amplas
1702033001,A P U R,39185,Apur
7302030004,A R A,92571,Ara
1275070006,A U R,20151,A u r
7404071005,A W A,93552,Awa
7313110010,A W O,90993,Awo
6305010002,A YANI PURA,71183,A. Yani Pura
5105020008,AAN,80752,Aan
5107050001,ABABI,80852,Ababi
3276030009,ABADIJAYA,16417,Abadi Jaya
9434050001,ABAIMAIDA,98874,Abaimaida
7101060010,ABAK,95741,Abak
9415072009,ABAMU,99778,Abamu
5107050003,ABANG,80852,Abang
5106040021,ABANG SONGAN,80652,Abangsongan
7201030012,ABASON,94884,Abason
8101052002,ABAT,97472,Abat
9410070009,ABATADI,98766,Abatadi
9434050005,ABAUGI / OBAIKAGOPA,98874,Obaikagopa
7206010007,ABBAJARENG,94554,Abbajareng
7313120007,ABBANDERANGNGE,90992,Abbanderangnge
7311180003,ABBANUANG,92751,Abbanuang
7312040006,ABBANUANGE,90871,Abbanuange
7313030013,ABBANUANGE,90971,Abbanuangnge
7313100012,ABBANUANGE,90952,Abbanuangnge
7313101004,ABBATIRENG,90954,Abbatireng
7314051004,ABBOKONGANG,91653,Abbokongeng
7311030003,ABBUMPUNGENG,92776,Abbum Pungeng
7311030003,ABBUMPUNGENG,92772,Abbumpungeng
7311100001,ABBUMPUNGENG,92776,Abbum Pungeng
7311100001,ABBUMPUNGENG,92772,Abbumpungeng
9471020011,ABE PANTAI,99134,Abepantai
8102013010,ABEAN,97656,Abean
7471021005,ABELI,93234,Abeli
7471012018,ABELI DALAM,93115,Abeli Dalam
9418032006,ABENA,99427,Abena
9432030003,ABENAHO,99483,Abenaho
7405100014,ABENGGI,93873,Abenggi
9418025007,ABEPUR,99425,Abepur
1110050006,ABEUK BUDI,24252,Abeuk Budi
1105181010,ABEUK GEULANTEU,24459,Abeuk Geulanteu
1110070002,ABEUK JALOH,24258,Abeuk Jaloh
1111110063,ABEUK LEUPEN,24382,Abeuk Leupon
1111010032,ABEUK REULING,24377,Abeuk Reuling
1110060030,ABEUK TINGKEUM,24269,Abeuk Tingkeum
1110060001,ABEUK USONG,24269,Abeuk Usong
5304072007,ABI,85554,Abi
5271031002,ABIAN TUBUH BARU,83244,Abian Tubuh Baru
5102040014,ABIAN TUWUNG,82171,Abian Tuwung
5103040006,ABIANBASE,80351,Abianbase
5104030007,ABIANBASE,80515,Abianbase
5103050009,ABIANSEMAL,80352,Abiansemal
9108070008,ABIDON,98488,Abidon
9418031004,ABIMBAK,99426,Abimbak
6303070026,ABIRAU,70661,Abirau
6402082013,ABIT,75753,Abit
1109210007,ABO,24151,Abo
9414050007,ABOGE,99874,Aboge
7410030027,ABOLA,93352,Abola
8103090004,ABORU,97545,Aboru
9434030002,ABOUYAGA,98875,Abouyaga
9417041002,ABOY,99578,Aboy
9111050003,ABRESSO,98355,Abreso
5106010002,ABUAN,80661,Abuan
5106040012,ABUAN,80652,Abuan
8103081002,ABUBU,97547,Abubu
9417060019,ABUKEROM,99576,Abukerom
7403180018,ABUKI,93452,Abuki
6303040005,ABUMBUN JAYA,70653,Abumbun Jaya
6307091007,ABUNG,71392,Abung
6307091008,ABUNG SURAPATI,71392,Abung Surapati
1508020001,ABURAN BATANG TEBO,37519,Aburan Batang Tebo
9402190011,ABUSA,99512,Abusa
8108020004,ABUSUR,97454,Abusur
8201090039,ACANGO,97752,Acango
1604061007,ACEH,31494,Aceh
9105144001,ACEMO,98315,Acemo
5309011001,ADABANG,86255,Adabang
7405021011,ADAKA JAYA,93884,Adaka Jaya
1214021002,ADAM,22883,Adam
1112020008,ADAN,23763,Adan
1118030031,ADAN,24188,Adan
3506100021,ADAN-ADAN,64181,Adan-adan
5307060022,ADANG,85851,Adang
5307050003,ADANG BUOM,85819,Adang Buom
6401060023,ADANG JAYA,76282,Adang Jaya
7308022002,ADATONGENG,90511,Adatongeng
