BPS code,Area Name,postal code
31,DKI JAKARTA,10000
32,JAWA BARAT,10000
36,BANTEN,10000
3173,JAKARTA PUSAT,10100
3173080,GAMBIR,10110
3173080,GAMBIR,10120
3173080,GAMBIR,10130
3173080,GAMBIR,10140
3173080,GAMBIR,10150
3173080,GAMBIR,10160
3173,JAKARTA PUSAT,10200
3173010,TANAH ABANG,10210
3173010,TANAH ABANG,10220
3173010,TANAH ABANG,10230
3173010,TANAH ABANG,10240
3173010,TANAH ABANG,10250
3173010,TANAH ABANG,10260
3173010,TANAH ABANG,10270
3173,JAKARTA PUSAT,10300
3173020,MENTENG,10310
3173020,MENTENG,10320
3173020,MENTENG,10330
3173020,MENTENG,10340
3173020,MENTENG,10350
3173,JAKARTA PUSAT,10400
3173030,SENEN,10410
3173030,SENEN,10420
3173030,SENEN,10430
3173030,SENEN,10440
3173030,SENEN,10450
3173030,SENEN,10460
3173,JAKARTA PUSAT,10500
3173050,CEMPAKA PUTIH,10510
3173050,CEMPAKA PUTIH,10520
3173040,JOHAR BARU,10530
3173040,JOHAR BARU,10540
3173040,JOHAR BARU,10550
3173040,JOHAR BARU,10560
3173050,CEMPAKA PUTIH,10570
3173,JAKARTA PUSAT,10600
3173060,KEMAYORAN,10610
3173060,KEMAYORAN,10620
3173060,KEMAYORAN,10630
3173060,KEMAYORAN,10640
3173060,KEMAYORAN,10650
3173,JAKARTA PUSAT,10700
3173070,SAWAH BESAR,10710
3173070,SAWAH BESAR,10720
3173070,SAWAH BESAR,10730
3173070,SAWAH BESAR,10740
3173070,SAWAH BESAR,10750
3174,JAKARTA BARAT,11100
3174060,TAMAN SARI,11110
3174060,TAMAN SARI,11120
3174060,TAMAN SARI,11130
3174060,TAMAN SARI,11140
3174060,TAMAN SARI,11150
3174060,TAMAN SARI,11160
3174060,TAMAN SARI,11170
3174060,TAMAN SARI,11180
3174,JAKARTA BARAT,11200
3174050,TAMBORA,11210
3174050,TAMBORA,11220
3174050,TAMBORA,11230
3174050,TAMBORA,11240
3174050,TAMBORA,11250
3174050,TAMBORA,11260
3174050,TAMBORA,11270
3174,JAKARTA BARAT,11300
3174050,TAMBORA,11310
